product_id,description,top_k_predictions,ground_truth
53,PVC40 1 PIPE EXTENDER,"[{'rank': 1, 'commodity_code': 40171708, 'commodity_name': 'PVC plastic pipe adapter', 'score': 1.120409369468689, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe adapters', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 40172508, 'commodity_name': 'PVC plastic pipe connector', 'score': 0.8638736009597778, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe connectors', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 40172906, 'commodity_name': 'PVC plastic pipe expansion joint', 'score': 0.8609412908554077, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe expansion joints', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 40174307, 'commodity_name': 'PVC plastic pipe spacer', 'score': 0.8388161063194275, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe spacers', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 40172608, 'commodity_name': 'PVC plastic pipe coupling', 'score': 0.7144275903701782, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe couplings', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 40172808, 'commodity_name': 'PVC plastic pipe elbow', 'score': 0.7102255821228027, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe elbows', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 40172408, 'commodity_name': 'PVC plastic pipe cap', 'score': 0.6950923204421997, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe caps', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 40173508, 'commodity_name': 'PVC plastic pipe plug', 'score': 0.6310020685195923, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe plugs', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 40174908, 'commodity_name': 'PVC plastic pipe union', 'score': 0.5676989555358887, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe unions', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 40173006, 'commodity_name': 'PVC plastic pipe half coupling', 'score': 0.48568832874298096, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe half couplings', 'in_hierarchy': True}]",PVC plastic pipe coupling
54,S0301-10 PATH AINSLEY SQUARE VGB 15437TZT,"[{'rank': 1, 'commodity_code': 95111608, 'commodity_name': 'Bike path', 'score': 0.9371496438980103, 'segment': 'Land and Buildings and Structures and Thoroughfares', 'family': 'Thoroughfares', 'class': 'Open traffic thoroughfares', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 31163222, 'commodity_name': 'Square key', 'score': 0.4878486692905426, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Retaining hardware', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 95111615, 'commodity_name': 'Road junction', 'score': 0.4092981219291687, 'segment': 'Land and Buildings and Structures and Thoroughfares', 'family': 'Thoroughfares', 'class': 'Open traffic thoroughfares', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 31162612, 'commodity_name': 'Square hook', 'score': 0.3905564546585083, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Hooks', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 31241608, 'commodity_name': 'Square bar stock', 'score': 0.38753169775009155, 'segment': 'Manufacturing Components and Supplies', 'family': 'Industrial optics', 'class': 'Optical blanks', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 27111815, 'commodity_name': 'Combination square', 'score': 0.26855963468551636, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Measuring and layout tools', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 27111821, 'commodity_name': 'Cylindrical square', 'score': 0.2596263587474823, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Measuring and layout tools', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 41114221, 'commodity_name': 'Optical square', 'score': 0.22303643822669983, 'segment': 'Laboratory and Measuring and Observing and Testing Equipment', 'family': 'Measuring and observing and testing instruments', 'class': 'Land surveying instruments', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 39122109, 'commodity_name': 'Square type steel crossarm', 'score': 0.2112216055393219, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Electrical equipment and components and supplies', 'class': 'Electrical transmission and distribution equipment', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 95111617, 'commodity_name': 'Footpath', 'score': 0.19315442442893982, 'segment': 'Land and Buildings and Structures and Thoroughfares', 'family': 'Thoroughfares', 'class': 'Open traffic thoroughfares', 'in_hierarchy': True}]",Drain covers
55,IPS 83756 1-1/4 - 1-1/2 TEST BALL PLUG W/RELIEF,"[{'rank': 1, 'commodity_code': 20122006, 'commodity_name': 'Test plugs', 'score': 0.847082793712616, 'segment': 'Mining and Well Drilling Machinery and Accessories', 'family': 'Oil and gas drilling and exploration equipment', 'class': 'Fixturing and test equipment', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 31163303, 'commodity_name': 'Ball stud', 'score': 0.6835305690765381, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Studs', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 93131801, 'commodity_name': 'Disaster warning services', 'score': 0.605729877948761, 'segment': 'Politics and Civic Affairs Services', 'family': 'Humanitarian aid and relief', 'class': 'Disaster preparedness and relief', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 93131802, 'commodity_name': 'Disaster preparedness response services', 'score': 0.5831712484359741, 'segment': 'Politics and Civic Affairs Services', 'family': 'Humanitarian aid and relief', 'class': 'Disaster preparedness and relief', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 93131803, 'commodity_name': 'Emergency housing services', 'score': 0.5800000429153442, 'segment': 'Politics and Civic Affairs Services', 'family': 'Humanitarian aid and relief', 'class': 'Disaster preparedness and relief', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 41121710, 'commodity_name': 'Test tube closures or caps', 'score': 0.5683238506317139, 'segment': 'Laboratory and Measuring and Observing and Testing Equipment', 'family': 'Laboratory supplies and fixtures', 'class': 'Test Tubes', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 41121701, 'commodity_name': 'Multipurpose or general test tubes', 'score': 0.5611173510551453, 'segment': 'Laboratory and Measuring and Observing and Testing Equipment', 'family': 'Laboratory supplies and fixtures', 'class': 'Test Tubes', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 41121708, 'commodity_name': 'Anti coagulant test tubes', 'score': 0.5593510270118713, 'segment': 'Laboratory and Measuring and Observing and Testing Equipment', 'family': 'Laboratory supplies and fixtures', 'class': 'Test Tubes', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 41121707, 'commodity_name': 'Separator test tubes', 'score': 0.5589357614517212, 'segment': 'Laboratory and Measuring and Observing and Testing Equipment', 'family': 'Laboratory supplies and fixtures', 'class': 'Test Tubes', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 25191814, 'commodity_name': 'Spark plug tester', 'score': 0.5001992583274841, 'segment': 'Commercial and Military and Private Vehicles and their Accessories and Components', 'family': 'Transportation services equipment', 'class': 'Vehicle testing and measuring equipment', 'in_hierarchy': False}]",Rubber pipe plug
56,AMESTA RU107 FLASH ROUGH VALVE W/ PEX CRIMP CONNECTIONS,"[{'rank': 1, 'commodity_code': 27121707, 'commodity_name': 'Crimp connectors', 'score': 1.0348899364471436, 'segment': 'Tools and General Machinery', 'family': 'Hydraulic machinery and equipment', 'class': 'Hydraulic hose and tube fittings', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 27121811, 'commodity_name': 'Hydraulic crimp tool accessory', 'score': 0.8487874269485474, 'segment': 'Tools and General Machinery', 'family': 'Hydraulic machinery and equipment', 'class': 'Hydraulic tools', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 30181808, 'commodity_name': 'Rough in valve', 'score': 0.8394372463226318, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Plumbing fixtures', 'class': 'Faucet and shower heads, jets and parts and accessories', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 27121810, 'commodity_name': 'Hydraulic hand crimp tool', 'score': 0.7884759902954102, 'segment': 'Tools and General Machinery', 'family': 'Hydraulic machinery and equipment', 'class': 'Hydraulic tools', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 55121512, 'commodity_name': 'Valve tag', 'score': 0.5424356460571289, 'segment': 'Published Products', 'family': 'Signage and accessories', 'class': 'Tags', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 27111904, 'commodity_name': 'Rasps', 'score': 0.43084093928337097, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Rough and finishing tools', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 27111953, 'commodity_name': 'Farrier rasp', 'score': 0.4296245574951172, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Rough and finishing tools', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 27112729, 'commodity_name': 'Tube crimper', 'score': 0.42185062170028687, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Power tools', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 55122003, 'commodity_name': 'Arc flash label', 'score': 0.41430824995040894, 'segment': 'Published Products', 'family': 'Signage and accessories', 'class': 'Electrical labels', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 27111917, 'commodity_name': 'Glue roller', 'score': 0.3972458243370056, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Rough and finishing tools', 'in_hierarchy': True}]",Rough in valve
57,"HGR 1"" BLK ADJ CLEVIS HGR 2090778","[{'rank': 1, 'commodity_code': 31162412, 'commodity_name': 'Clevis', 'score': 1.2100000381469727, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Miscellaneous fasteners', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 31162409, 'commodity_name': 'Clevis pin', 'score': 1.1945953369140625, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Miscellaneous fasteners', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 31161604, 'commodity_name': 'Clevis bolts', 'score': 1.0782701969146729, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Bolts', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 51343103, 'commodity_name': 'Clevudine', 'score': 0.5136839747428894, 'segment': 'Drugs and Pharmaceutical Products', 'family': 'Antiviral drugs', 'class': 'Antiviral pyrimidines', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 51342707, 'commodity_name': 'Interferon alfacon-1', 'score': 0.5112528800964355, 'segment': 'Drugs and Pharmaceutical Products', 'family': 'Antiviral drugs', 'class': 'Antiviral peptides', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 51312705, 'commodity_name': 'Clemastine hydrogen fumarate', 'score': 0.40233278274536133, 'segment': 'Drugs and Pharmaceutical Products', 'family': 'Antihistamines or H1 blockers', 'class': 'Antihistamine or H1 blocker pyrrolidines', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 41114421, 'commodity_name': 'Hygrometer calibrator', 'score': 0.3618171811103821, 'segment': 'Laboratory and Measuring and Observing and Testing Equipment', 'family': 'Measuring and observing and testing instruments', 'class': 'Meteorological instruments', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 51313441, 'commodity_name': 'Triprolidine hydrochloride anhydrous', 'score': 0.36179283261299133, 'segment': 'Drugs and Pharmaceutical Products', 'family': 'Antihistamines or H1 blockers', 'class': 'Antihistamine or H1 blocker pyridines', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 51311901, 'commodity_name': 'Cromoglicic acid or cromolyn', 'score': 0.36048591136932373, 'segment': 'Drugs and Pharmaceutical Products', 'family': 'Antihistamines or H1 blockers', 'class': 'Antihistamine or H1 blocker benzopyrans', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 51311802, 'commodity_name': 'Bilastine', 'score': 0.34867772459983826, 'segment': 'Drugs and Pharmaceutical Products', 'family': 'Antihistamines or H1 blockers', 'class': 'Antihistamine or H1 blocker benzimidazoles', 'in_hierarchy': False}]",Plumbing hangers
58,WHILE SUPPLIES LAST: WEIL 385-700-235 BURNER MOUNTING PLATE,"[{'rank': 1, 'commodity_code': 31162307, 'commodity_name': 'Mounting plates', 'score': 1.2100000381469727, 'segment': 'Manufacturing Components and Supplies', 'family': 'Hardware', 'class': 'Mounting hardware', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 31361204, 'commodity_name': 'Inconel bolted plate assemblies', 'score': 0.6724803447723389, 'segment': 'Manufacturing Components and Supplies', 'family': 'Fabricated plate assemblies', 'class': 'Bolted plate assemblies', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 31361203, 'commodity_name': 'Hastalloy X bolted plate assemblies', 'score': 0.6601861715316772, 'segment': 'Manufacturing Components and Supplies', 'family': 'Fabricated plate assemblies', 'class': 'Bolted plate assemblies', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 31361210, 'commodity_name': 'Titanium bolted plate assemblies', 'score': 0.651963472366333, 'segment': 'Manufacturing Components and Supplies', 'family': 'Fabricated plate assemblies', 'class': 'Bolted plate assemblies', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 31361704, 'commodity_name': 'Inconel riveted plate assemblies', 'score': 0.643875002861023, 'segment': 'Manufacturing Components and Supplies', 'family': 'Fabricated plate assemblies', 'class': 'Riveted plate assemblies', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 31361710, 'commodity_name': 'Titanium riveted plate assemblies', 'score': 0.6326957941055298, 'segment': 'Manufacturing Components and Supplies', 'family': 'Fabricated plate assemblies', 'class': 'Riveted plate assemblies', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 31361703, 'commodity_name': 'Hastalloy X riveted plate assemblies', 'score': 0.6262946128845215, 'segment': 'Manufacturing Components and Supplies', 'family': 'Fabricated plate assemblies', 'class': 'Riveted plate assemblies', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 31361206, 'commodity_name': 'Non metallic bolted plate assemblies', 'score': 0.620571494102478, 'segment': 'Manufacturing Components and Supplies', 'family': 'Fabricated plate assemblies', 'class': 'Bolted plate assemblies', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 31361706, 'commodity_name': 'Non metallic riveted plate assemblies', 'score': 0.613166093826294, 'segment': 'Manufacturing Components and Supplies', 'family': 'Fabricated plate assemblies', 'class': 'Riveted plate assemblies', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 31361211, 'commodity_name': 'Waspalloy bolted plate assemblies', 'score': 0.5945649743080139, 'segment': 'Manufacturing Components and Supplies', 'family': 'Fabricated plate assemblies', 'class': 'Bolted plate assemblies', 'in_hierarchy': True}]",Mounting plates
59,SM 49 24 X 24 ADJ PLENUM TOP 82 4R820024240000,"[{'rank': 1, 'commodity_code': 12141612, 'commodity_name': 'Samarium Sm', 'score': 1.0, 'segment': 'Chemicals including Bio Chemicals and Gas Materials', 'family': 'Elements and gases', 'class': 'Rare earth metals', 'in_hierarchy': False}, {'rank': 2, 'commodity_code': 50421907, 'commodity_name': 'Dried cheltenham green top beets', 'score': 0.49961280822753906, 'segment': 'Food Beverage and Tobacco Products', 'family': 'Dried vegetables', 'class': 'Dried beets', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 85121808, 'commodity_name': 'X ray laboratory services', 'score': 0.4988863468170166, 'segment': 'Healthcare Services', 'family': 'Medical practice', 'class': 'Medical laboratories', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 23152202, 'commodity_name': 'Stack stands', 'score': 0.3422479033470154, 'segment': 'Industrial Manufacturing and Processing Machinery and Accessories', 'family': 'Industrial process machinery and equipment and supplies', 'class': 'Manufacturing tables and stands', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 30263707, 'commodity_name': 'Steel alloy SAE 5000 series hot rolled bar', 'score': 0.32428663969039917, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Steel alloy bars', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 30263701, 'commodity_name': 'Steel alloy SAE 4000 series cold drawn bar', 'score': 0.3180142641067505, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Steel alloy bars', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 30264107, 'commodity_name': 'Steel alloy SAE 5000 series cold rolled sheet', 'score': 0.3156862258911133, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Steel alloy sheets', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 30264102, 'commodity_name': 'Steel alloy SAE 5000 series hot rolled sheet', 'score': 0.3140694499015808, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Steel alloy sheets', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 30263706, 'commodity_name': 'Steel alloy SAE 4000 series hot rolled bar', 'score': 0.3110867738723755, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Steel alloy bars', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 30263709, 'commodity_name': 'Steel alloy SAE 8000 series hot rolled bar', 'score': 0.3060011863708496, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Steel alloy bars', 'in_hierarchy': True}]",Air handling unit
60,MOEN BRANTFORD 6610BN 2HD LAV,"[{'rank': 1, 'commodity_code': 72152906, 'commodity_name': 'Metal lath and furring service', 'score': 1.201725721359253, 'segment': 'Building and Facility Construction and Maintenance Services', 'family': 'Specialized trade construction and maintenance services', 'class': 'Structural steel erection services', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 72101518, 'commodity_name': 'Portable generator rental service', 'score': 1.100768804550171, 'segment': 'Building and Facility Construction and Maintenance Services', 'family': 'Building and facility maintenance and repair services', 'class': 'Building maintenance and repair services', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 72101505, 'commodity_name': 'Locksmith services', 'score': 0.9660391807556152, 'segment': 'Building and Facility Construction and Maintenance Services', 'family': 'Building and facility maintenance and repair services', 'class': 'Building maintenance and repair services', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 72152903, 'commodity_name': 'Elevator front installation service', 'score': 0.9009969234466553, 'segment': 'Building and Facility Construction and Maintenance Services', 'family': 'Specialized trade construction and maintenance services', 'class': 'Structural steel erection services', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 72101515, 'commodity_name': 'Subsidence service work', 'score': 0.8800305128097534, 'segment': 'Building and Facility Construction and Maintenance Services', 'family': 'Building and facility maintenance and repair services', 'class': 'Building maintenance and repair services', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 72154503, 'commodity_name': 'Crane rental service', 'score': 0.8353213667869568, 'segment': 'Building and Facility Construction and Maintenance Services', 'family': 'Specialized trade construction and maintenance services', 'class': 'Heavy equipment installation and maintenance services', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 72154062, 'commodity_name': 'Hot tapping service', 'score': 0.8054465055465698, 'segment': 'Building and Facility Construction and Maintenance Services', 'family': 'Specialized trade construction and maintenance services', 'class': 'Specialty building and trades services', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 72154030, 'commodity_name': 'Tower bell installation and repair service', 'score': 0.7673600912094116, 'segment': 'Building and Facility Construction and Maintenance Services', 'family': 'Specialized trade construction and maintenance services', 'class': 'Specialty building and trades services', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 72152908, 'commodity_name': 'Smoke stack installation service', 'score': 0.7656770348548889, 'segment': 'Building and Facility Construction and Maintenance Services', 'family': 'Specialized trade construction and maintenance services', 'class': 'Structural steel erection services', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 72101519, 'commodity_name': 'Gas fitting installation service', 'score': 0.7606180906295776, 'segment': 'Building and Facility Construction and Maintenance Services', 'family': 'Building and facility maintenance and repair services', 'class': 'Building maintenance and repair services', 'in_hierarchy': True}]",Faucet unit
61,3/4 CTS CPVC Coupling SOC x SOC,"[{'rank': 1, 'commodity_code': 40172609, 'commodity_name': 'CPVC plastic pipe coupling', 'score': 1.2100000381469727, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe couplings', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 40173007, 'commodity_name': 'CPVC plastic pipe half coupling', 'score': 1.0505776405334473, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe half couplings', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 40173609, 'commodity_name': 'CPVC plastic pipe reducing coupling', 'score': 1.0355734825134277, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe reducing couplings', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 40172509, 'commodity_name': 'CPVC plastic pipe connector', 'score': 0.6788009405136108, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe connectors', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 40171709, 'commodity_name': 'CPVC plastic pipe adapter', 'score': 0.5687189698219299, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe adapters', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 40173509, 'commodity_name': 'CPVC plastic pipe plug', 'score': 0.5254549980163574, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe plugs', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 40172907, 'commodity_name': 'CPVC plastic pipe expansion joint', 'score': 0.5087594985961914, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe expansion joints', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 40174308, 'commodity_name': 'CPVC plastic pipe spacer', 'score': 0.4566539227962494, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe spacers', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 40172409, 'commodity_name': 'CPVC plastic pipe cap', 'score': 0.4230143427848816, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe caps', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 40183003, 'commodity_name': 'CPVC plastic tubing', 'score': 0.42157408595085144, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Tubes tubing and tube fittings', 'class': 'Rubber and plastic tubing', 'in_hierarchy': True}]",CPVC plastic pipe coupling
62,FUJ ACUH18LUAS1 R410A 20.8 SEER 11.6 HSPF 18000 MULTI-ZONE (HFI) INDOOR COMPACT CEILING CASSETTE,"[{'rank': 1, 'commodity_code': 39121111, 'commodity_name': 'Fusible switchboard', 'score': 0.5755432844161987, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Electrical equipment and components and supplies', 'class': 'Distribution and control centers and accessories', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 52161603, 'commodity_name': 'Compact video cassette adapter', 'score': 0.46448174118995667, 'segment': 'Domestic Appliances and Supplies and Consumer Electronic Products', 'family': 'Consumer electronics', 'class': 'Audio visual equipment accessories', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 51422401, 'commodity_name': '11-deoxycortisol or cortexolone or cortodoxone', 'score': 0.45181480050086975, 'segment': 'Drugs and Pharmaceutical Products', 'family': 'Corticosteroids', 'class': 'Corticosteroid pregnenediones', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 13111078, 'commodity_name': 'Polyamide 6-6', 'score': 0.23278050124645233, 'segment': 'Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials', 'family': 'Resins and rosins and other resin derived materials', 'class': 'Resins', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 94121505, 'commodity_name': 'Indoor or outdoor court sport clubs', 'score': 0.231300950050354, 'segment': 'Organizations and Clubs', 'family': 'Clubs', 'class': 'Sport clubs', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 52161601, 'commodity_name': 'Cassette storage', 'score': 0.23098959028720856, 'segment': 'Domestic Appliances and Supplies and Consumer Electronic Products', 'family': 'Consumer electronics', 'class': 'Audio visual equipment accessories', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 52141535, 'commodity_name': 'Domestic indoor electric grills', 'score': 0.22326309978961945, 'segment': 'Domestic Appliances and Supplies and Consumer Electronic Products', 'family': 'Domestic appliances', 'class': 'Domestic kitchen appliances', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 51473603, 'commodity_name': '8-hydroxyquinoline', 'score': 0.21322089433670044, 'segment': 'Drugs and Pharmaceutical Products', 'family': 'Antiseptics', 'class': 'Antiseptic quinolines', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 50421715, 'commodity_name': 'Dried booth 8 avocados', 'score': 0.1825188249349594, 'segment': 'Food Beverage and Tobacco Products', 'family': 'Dried vegetables', 'class': 'Dried avocados', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 92112005, 'commodity_name': 'Minefield zone', 'score': 0.15210974216461182, 'segment': 'National Defense and Public Order and Security and Safety Services', 'family': 'Military services and national defense', 'class': 'Military zones', 'in_hierarchy': False}]",Fan coil unit
